id	verdict	shell_rc	sched_rc	emitted	stored	db_rows	available	secs	note
JPREPO_BIWAKO_SEIKEI_OAI	OK	0	0	431	431	431	431	148.9	
JPREPO_KOBEGAKUIN_OAI	OK	0	0	546	546	546	546	151.1	
JPREPO_KURUME_IT_OAI	OK	0	0	390	390	390	390	107.8	
JPREPO_KITASATO_OAI	OK	0	0	1142	1142	1142	1142	290.4	
JPREPO_MEIJI_U_OAI	OK	0	0	638	638	638	638	173.2	
JPREPO_MEIKAI_OAI	OK	0	0	1272	1272	1272	1272	189.5	
JPREPO_OTSUMA_OAI	OK	0	0	524	524	524	524	131.1	
JPREPO_NODAI_OAI	OK	0	0	1336	1336	1336	1336	368.6	
JPREPO_OSAKA_KYOIKU_OAI	OK	0	0	4000	4001	4001	4000	342.1	
JPREPO_TOKYO_FUKUSHI_OAI	OK	0	0	266	266	266	266	67.6	
JPREPO_TSUDA_OAI	OK	0	0	418	418	418	418	108.4	
JPREPO_SAITAMA_MED_OAI	OK	0	0	728	728	728	728	196.7	
JPREPO_SEIKA_OAI	OK	0	0	228	228	228	228	59.2	
JPREPO_REITAKU_OAI	OK	0	0	1232	1232	1232	1232	369.6	
JPREPO_KWASSUI_OAI	OK	0	0	1259	1259	1259	1259	354.6	
JPBIZ_SMRJ_NATIONAL	OK	0	0	0	20	20	20	2.1	
JPBIZ_SMRJ_HOKKAIDO	OK	0	0	0	20	20	20	2.0	
JPBIZ_SMRJ_TOHOKU	OK	0	0	0	19	19	19	2.5	
JPBIZ_SMRJ_KANTO	OK	0	0	0	20	20	20	2.2	
JPBIZ_SMRJ_CHUBU	OK	0	0	0	20	20	20	2.3	
JPBIZ_SMRJ_HOKURIKU	OK	0	0	0	20	20	20	2.1	
JPBIZ_SMRJ_KINKI	OK	0	0	0	20	20	20	2.1	
JPBIZ_SMRJ_CHUGOKU	OK	0	0	0	20	20	20	2.0	
JPBIZ_SMRJ_SHIKOKU	OK	0	0	0	19	19	19	2.0	
JPREPO_TAKUSHOKU_U_OAI	OK	0	0	996	996	996	996	269.3	
JPBIZ_SMRJ_KYUSHU	OK	0	0	0	15	15	15	2.2	
JPBIZ_SMRJ_OKINAWA	OK	0	0	0	4	4	4	2.2	
